Tue, 20 Dec 2016 16:04:04 base.py[line:111] INFO Scan ORMapping Tyre...
Tue, 20 Dec 2016 16:04:04 base.py[line:121] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:39:28 base.py[line:124] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:112] INFO Scan ORMapping Tyre...
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:40:11 base.py[line:124] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:112] INFO Scan ORMapping Tyre...
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:51:18 base.py[line:124] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:112] INFO Scan ORMapping Tyre...
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:17 base.py[line:124] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:112] INFO Scan ORMapping Tyre...
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:53:53 base.py[line:124] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:112] INFO Scan ORMapping Tyre...
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: itemId => <StringField:itemId, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: name => <StringField:name, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: source => <StringField:source, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: url => <StringField:url, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: pattern => <StringField:pattern, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: price => <FloatField:price, <type 'float'>, default(0.0), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: updateTime => <LongField:updateTime, <type 'float'>, default(0), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: specs => <StringField:specs, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: width => <StringField:width, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: rat => <StringField:rat, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: rim => <StringField:rim, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: speed => <StringField:speed, <type 'str'>, default(), UI>
Tue, 27 Dec 2016 11:54:10 base.py[line:124] INFO [ Mapping ] Found mapping: createTime => <LongField:createTime, <type 'float'>, default(0), UI>
